Name	Company	Country	Contributions	Lead  (put 'yes' for leadership; otherwise leave off)
Rob van der Veer	Software Improvement Group (SIG)	Netherlands	Project founder and lead, content, leadership team	yes
Aruneesh Salhotra	SNM Consulting Inc	US	Outreach, management, content, leadership team	yes
Behnaz Karimi	Accenture	Germany	Misc. contributions including model obfuscation and explanation, leadership team	yes
Adelin Travers	Trail of Bits		
Ahmed ElSheikh 	-	-	 Substantial various input, typically MLsec
Aishwarya Ramas	-	-	Various input e.g. prompt injection
Alan Hau	AIFT (Vulcan)	Singapore	Cultural sensitivity and global comparison
Alex Leung	AIFT (Vulcan)	Singapore	Cultural sensitivity and global comparison
Alon Tron	Stealth	Israel	Improved supply chain management
Amin  Hass	-	-	Various inputs mainly GenAI
Andrew Stokes	Pebl	US	Added selective amnesia
Andy smith	SANS	US  Various input regarding GenAI
Angie Qarry	QDeepTech	Austria	several elaborations and references on data science defence mechanisms
Annegrit Seyerlein-Klug	TH Brandenburg	Germany	mapping with misc. standards
Anthony Glynn	CapitalOne	US	many textual improvements & link to LLM top 10
Charles Chibueze		Nigeria	A multitude of editorial fixes and improvements throughout the content
Chinmoy Rajpal	-	-	Various inputs
Chris Ancharski	Global community builder	US	Leadership team during part of 2024
Chris Cochran	-	-	Various inputs, Agentic workstream lead in 2026
Dan Sorensen	Centil	US	Misc. additions including development security
Dennis Charolle	MilliporeSigma	US	Compliance overview and copyright
Disesdi Susanna Cox	OTW	US	Federated learning, testing, and much more
Elias Sørensen	Kantega	Norway	Many clarifications and improvements throughout
Enes Deniz		Turkey	AI engineering primer for security professionals
Eoin Wickens	HiddenLayer	Ireland	Additions to development security
Fabio Cerullo	-	-	Various inputs, risk acceptance framework
Feiyang Tang	Software Improvement Group (SIG)		
Gal Moyal	-	-	Extended sec dev program
Iryna Schwindt		Germany	Testing section
João Gomes Marques	Flow Traders	Germany	Added clause on tamper-evident logging under
Jolly Trivedi		Finland	Testing section and editing work
John Sotiropoulos	Kainos	UK	Previously: Liaison to several institutes
Lodewijk Bergmans	-	-	EU AI Act normativity input and various improvements
Magesh Dhanesakaran	-	-	Various inputs
Manish Garg	VE3	UK	Runtime model protection
Marco Morana	-	-	Various input, risk acceptance framework
Marko Lihter	SplxAI	Croatia	step-by-step guide for organizations, website creation, various textual improvements
Maryam Alhasmei			Testing section
Maryam Mouzarani	-	-	various inputs and creator of PwnzAI
Muhamed Loshi	-	-	Various input
Musaab Hasan		United Arab Emirates	Contributed the table 'From general risks to controls'
Niklas Bunzel	Fraunhofer institute	Germany	Substantial contribtutions around adversarial ML, mostly evasion
Rajiv Bahl		India	Testing section and various contributions
Ravishankar N	CHRIST University	India	Various editorial inputs
Reza Kopea	-	-	Various inputs
Rock Lambros		US	Substantial various inputsm risk acceptance framework
Rocky Heckman	Cyber Dynamo	Australia	Security & privacy risk analysis and ISO/IEC 27562
Rubens Zimbres		Brazil	Adversarial machine learning
Roger Sanz	Universidad Isabel	Spain	various inputs
Sandy Dunn	Boise State University, AI Cyber Advisors	US	Community management in the initial phase
S M Zia Ur Rashid	University of Tulsa	US	AI red teaming, security testing, threats and supply chain requirements project, learning and training resources
Sean Oesch	Oak Ridge National Laboratory	US	BLUF, Adversarial Training, OOD detection, NISTIR 8269, Guide Usability/Structure
Srajan Gupta	Dave		
Steve Francolla	Workforce Tech LLC	
Tobias faiss	-	-	various input
Valentino	-	-	various input, mostly on MLsec
Venkata Sai Kishore Modalavalasa (Sai)	Straiker	US	Incident detection, massive editor work in transferring controls research
Violeta Klein  -  Bulgaria  2026: Substantial contributions and leadership for MOSAIC, Agentic AI, and AI Act security standard review
Wei Wei	IBM	Germany	mapping with ISO/IEC 42001
Yiannis Kanellopoulos and team	Code4thought	Greece	evasion robustness
Yogev	-	-	various input and risk acceptance framework
Yuvaraj Govindarjulu	AI Shield	India	Testing section, model deserialization, and harmonization lead
Zoe Braiterman	Mutual Knowledge Systems	US	Many markdown improvements
